"country"	"year"	"continent"	"population"	"life_exp"	"gdp_per_cap"	"gini"
"United Kingdom"	1877	"europe"	29900000	44.7	6410	44.9
"United States"	1877	"americas"	47900000	39.4	4310	45.1
"Uruguay"	1877	"americas"	433000	32.9	5550	55.7
"Uzbekistan"	1877	"asia"	3220000	25.3	600	31.8
"Vanuatu"	1877	"asia"	35100	24.4	712	37.6
"Venezuela"	1877	"americas"	1920000	32.3	1040	62.8
"Vietnam"	1877	"asia"	11100000	31.8	886	34.2
"Yemen"	1877	"asia"	2930000	23.4	1090	37.4
"Zambia"	1877	"africa"	744000	32.9	799	54.5
"Zimbabwe"	1877	"africa"	1630000	33.8	953	27.5
"Afghanistan"	1878	"asia"	4360000	28	736	44.7
"Albania"	1878	"europe"	660000	35.4	844	34.4
"Algeria"	1878	"africa"	4070000	29.1	1380	39.4
"Angola"	1878	"africa"	2480000	27.7	870	38.1
"Antigua and Barbuda"	1878	"americas"	35100	33.6	1120	40
"Argentina"	1878	"americas"	2340000	33.1	3220	50
"Armenia"	1878	"europe"	701000	32.4	644	53.6
"Australia"	1878	"asia"	2120000	38.3	7100	41.7
"Austria"	1878	"europe"	4860000	34.8	3950	22.8
"Azerbaijan"	1878	"europe"	1500000	27.6	1070	68.1
"Bahamas"	1878	"americas"	42400	35.1	2140	40
"Bahrain"	1878	"asia"	67400	30.4	2100	40
"Bangladesh"	1878	"asia"	25800000	24.9	898	30.9
"Barbados"	1878	"americas"	169000	32.3	1350	40
"Belarus"	1878	"europe"	4020000	36.1	861	48.1
"Belgium"	1878	"europe"	5470000	44.2	5460	34.3
"Belize"	1878	"americas"	26600	26.5	858	60.3
"Benin"	1878	"africa"	1120000	31.3	792	37.1
"Bhutan"	1878	"asia"	121000	29.5	708	40.9
"Bolivia"	1878	"americas"	1610000	33.3	1480	39.2
"Bosnia and Herzegovina"	1878	"europe"	1410000	35.1	881	30
"Botswana"	1878	"africa"	122000	33.7	527	47
"Brazil"	1878	"americas"	11500000	32.1	1510	30.5
"Brunei"	1878	"asia"	7740	29.1	1850	40
"Bulgaria"	1878	"europe"	2910000	39.2	1580	42.3
"Burkina Faso"	1878	"africa"	2540000	29.5	513	38.1
"Burundi"	1878	"africa"	1370000	31.6	449	35.1
"Cambodia"	1878	"asia"	2480000	35.2	987	42
"Cameroon"	1878	"africa"	2180000	29	831	27.7
"Canada"	1878	"americas"	4240000	44.1	2720	42.5
"Cape Verde"	1878	"africa"	93500	34.1	679	52.5
"Central African Republic"	1878	"africa"	635000	30.4	563	57.6
"Chad"	1878	"africa"	1450000	31.4	555	33.5
"Chile"	1878	"americas"	2220000	32.1	2070	59.4
"China"	1878	"asia"	366000000	25.1	1010	30.6
"Colombia"	1878	"americas"	2790000	32.2	1120	52.9
"Comoros"	1878	"africa"	89400	32.3	753	34.1
"Congo, Dem. Rep."	1878	"africa"	7560000	32	669	40.4
"Congo, Rep."	1878	"africa"	483000	32.5	717	48.3
"Costa Rica"	1878	"americas"	164000	30.3	1490	42.1
"Cote d Ivoire"	1878	"africa"	1610000	31.6	1110	40.3
"Croatia"	1878	"europe"	2050000	36.1	2140	25
"Cuba"	1878	"americas"	1520000	34.7	2130	40
"Cyprus"	1878	"europe"	188000	38.4	1700	30.1
"Czech Republic"	1878	"europe"	6820000	35	2940	32.6
"Denmark"	1878	"europe"	2040000	47.6	3750	31.2
"Djibouti"	1878	"africa"	35600	30.4	962	36.5
"Dominican Republic"	1878	"americas"	302000	30.2	916	39.9
"Ecuador"	1878	"americas"	1130000	33.1	769	41.9
"Egypt"	1878	"africa"	7680000	33	960	23.8
"El Salvador"	1878	"americas"	555000	28.8	1590	41.2
"Equatorial Guinea"	1878	"africa"	97600	30.1	394	40
"Eritrea"	1878	"africa"	442000	30.5	619	40
"Estonia"	1878	"europe"	569000	41	1400	41.7
"Ethiopia"	1878	"africa"	6640000	29.7	535	47.7
"Fiji"	1878	"asia"	128000	26.3	958	35.3
"Finland"	1878	"europe"	1990000	39.2	1950	41.9
"France"	1878	"europe"	38800000	43.4	3390	67.4
"Gabon"	1878	"africa"	258000	30.9	395	46.3
"Gambia"	1878	"africa"	159000	29.9	852	39.6
"Georgia"	1878	"europe"	1820000	30.4	717	26.9
"Germany"	1878	"europe"	42800000	38.7	3230	44.4
"Ghana"	1878	"africa"	1660000	28.3	749	39.7
"Greece"	1878	"europe"	3970000	36.8	2210	45.3
"Grenada"	1878	"americas"	41400	37.5	1230	40
"Guatemala"	1878	"americas"	1160000	25.8	1380	37.4
"Guinea"	1878	"africa"	1640000	30.9	508	34.4
"Guinea-Bissau"	1878	"africa"	325000	31.8	817	49.5
"Guyana"	1878	"americas"	247000	31.2	1800	39.5
"Haiti"	1878	"americas"	1250000	28.9	1150	47.5
"Honduras"	1878	"americas"	438000	34.1	1420	58.5
"Hungary"	1878	"europe"	6190000	36	2090	32.9
"Iceland"	1878	"europe"	89400	41.6	1810	25.8
"India"	1878	"asia"	221000000	20	1080	36.1
"Indonesia"	1878	"asia"	29500000	30.1	1080	30.7
"Iran"	1878	"asia"	8780000	25.8	1140	46.5
"Iraq"	1878	"asia"	1730000	31.3	1270	33.2
"Ireland"	1878	"europe"	3690000	43.3	3210	31.6
"Israel"	1878	"asia"	275000	31.9	929	34.7
"Italy"	1878	"europe"	29200000	34.3	2780	51.2
"Jamaica"	1878	"americas"	551000	34.2	925	41.3
"Japan"	1878	"asia"	36400000	37	1290	40.9
"Jordan"	1878	"asia"	284000	31.8	1280	36.9
"Kazakhstan"	1878	"asia"	3470000	24.8	1700	35.3
"Kenya"	1878	"africa"	2600000	25.7	1090	48.4
"Kiribati"	1878	"asia"	23500	25	590	37
"Kuwait"	1878	"asia"	84400	26.1	1600	40
"Kyrgyz Republic"	1878	"asia"	901000	22.5	847	34.4
"Lao"	1878	"asia"	845000	31.7	995	32.6
"Latvia"	1878	"europe"	1000000	39	1120	40.4
"Lebanon"	1878	"asia"	489000	29.7	1680	34.5
"Lesotho"	1878	"africa"	427000	33.2	411	56
"Liberia"	1878	"africa"	509000	31.6	934	36.5
"Libya"	1878	"africa"	747000	33.6	2140	40
"Lithuania"	1878	"europe"	1330000	32.3	1890	40
"Luxembourg"	1878	"europe"	185000	36.9	2890	33.9
"Macedonia, FYR"	1878	"europe"	657000	36.1	1100	30.3
"Madagascar"	1878	"africa"	2500000	30.8	760	38.8
"Malawi"	1878	"africa"	750000	30.5	354	43.3
"Malaysia"	1878	"asia"	1060000	30.6	1150	33
"Maldives"	1878	"asia"	57700	32.4	840	41.3
"Mali"	1878	"africa"	2410000	26.9	616	49.2
"Malta"	1878	"europe"	196000	31.5	1330	28
"Mauritania"	1878	"africa"	487000	32.3	700	40.3
"Mauritius"	1878	"africa"	349000	35	1250	38.6
"Mexico"	1878	"americas"	10200000	26.9	1460	43.6
"Micronesia, Fed. Sts."	1878	"asia"	22000	26.6	544	42.4
"Moldova"	1878	"europe"	1210000	33	853	39
"Mongolia"	1878	"asia"	677000	31.8	655	32
"Montenegro"	1878	"europe"	211000	35.5	1680	30.2
"Morocco"	1878	"africa"	4000000	33.2	793	42
"Mozambique"	1878	"africa"	3390000	30.8	409	51.1
"Myanmar"	1878	"asia"	5370000	30.7	924	35.4
"Namibia"	1878	"africa"	231000	32.7	1290	46.6
"Nepal"	1878	"asia"	4950000	33.2	700	25.8
"Netherlands"	1878	"europe"	3940000	41.1	5480	47.2
"New Zealand"	1878	"asia"	464000	37.6	7110	38.2
"Nicaragua"	1878	"americas"	439000	25.6	1810	39.4
"Niger"	1878	"africa"	1710000	31.3	592	34.9
"Nigeria"	1878	"africa"	15500000	31.3	1150	39.2
"North Korea"	1878	"asia"	4770000	26.3	534	37
"Norway"	1878	"europe"	1860000	51.8	2760	35
"Oman"	1878	"asia"	380000	32.3	1200	40
"Pakistan"	1878	"asia"	16800000	26.2	1050	36.5
"Palestine"	1878	"asia"	220000	32.4	1260	34
"Panama"	1878	"americas"	196000	33	1630	43.2
"Papua New Guinea"	1878	"asia"	1080000	31.9	667	46
"Paraguay"	1878	"americas"	401000	35.7	1730	40.8
"Peru"	1878	"americas"	2900000	35.4	1410	45.3
"Philippines"	1878	"asia"	4890000	31	1060	41.2
"Poland"	1878	"europe"	19100000	35.9	1790	30
"Portugal"	1878	"europe"	4570000	35.6	1780	49.6
"Qatar"	1878	"asia"	14600	30.8	1600	40
"Romania"	1878	"europe"	9620000	35.7	1820	36.4
"Russia"	1878	"europe"	53000000	27.8	2130	45.6
"Rwanda"	1878	"africa"	1360000	31.9	476	39.6
"Samoa"	1878	"asia"	38600	25.8	1710	42.1
"Sao Tome and Principe"	1878	"africa"	35200	31.1	983	32.1
"Saudi Arabia"	1878	"asia"	2390000	32.7	930	40
"Senegal"	1878	"africa"	1510000	25.6	660	50.3
"Serbia"	1878	"europe"	3570000	35.6	2160	32.8
"Seychelles"	1878	"africa"	15300	39.1	1080	41.3
"Sierra Leone"	1878	"africa"	1210000	25.7	974	41.2
"Singapore"	1878	"asia"	109000	34	1430	47
"Slovak Republic"	1878	"europe"	2640000	36.4	2190	39.7
"Slovenia"	1878	"europe"	783000	36.5	2240	33.5
"Solomon Islands"	1878	"asia"	69100	25.1	447	46.1
"Somalia"	1878	"africa"	1440000	29.9	747	45
"South Africa"	1878	"africa"	3010000	33.7	2590	35.2
"South Korea"	1878	"asia"	9800000	25.8	532	32
"South Sudan"	1878	"africa"	1580000	27.5	673	45
"Spain"	1878	"europe"	16800000	29.5	2460	27.9
"Sri Lanka"	1878	"asia"	2980000	32.6	1180	37.2
"St. Lucia"	1878	"americas"	36600	28.1	1060	42.6
"St. Vincent and the Grenadines"	1878	"americas"	39000	26	1240	40
"Sudan"	1878	"africa"	4820000	31.4	688	33.9
"Suriname"	1878	"americas"	125000	33	2430	45.6
"Swaziland"	1878	"africa"	86800	32.5	650	60.5
"Sweden"	1878	"europe"	4440000	46.7	2400	39
"Switzerland"	1878	"europe"	2790000	40.5	5840	41.4
"Syria"	1878	"asia"	1650000	31.3	1240	39.9
"Tajikistan"	1878	"asia"	791000	22.7	778	34
"Tanzania"	1878	"africa"	3690000	32.5	659	27.9
"Thailand"	1878	"asia"	6180000	30.5	1110	34.7
"Timor-Leste"	1878	"asia"	260000	29.2	608	35.9
"Togo"	1878	"africa"	741000	31.6	906	43.6
"Tonga"	1878	"asia"	19300	28.2	809	37.7
"Trinidad and Tobago"	1878	"americas"	155000	38.8	1690	45.5
"Tunisia"	1878	"africa"	1290000	29.1	948	56.3
"Turkey"	1878	"europe"	12400000	35.3	1530	52.6
"Turkmenistan"	1878	"asia"	626000	21	1400	31.1
"Uganda"	1878	"africa"	2540000	25.4	615	43.6
"Ukraine"	1878	"europe"	19200000	36.5	1140	31.9
"United Arab Emirates"	1878	"asia"	42200	30.8	1460	40
"United Kingdom"	1878	"europe"	30200000	43	6360	44.3
"United States"	1878	"americas"	49100000	39.4	4390	44.9
"Uruguay"	1878	"americas"	448000	32.9	5870	55.8
"Uzbekistan"	1878	"asia"	3250000	25.5	602	31.5
"Vanuatu"	1878	"asia"	35300	24.5	715	37.6
"Venezuela"	1878	"americas"	1950000	32.3	1070	62.8
"Vietnam"	1878	"asia"	11200000	31.8	893	34.2
"Yemen"	1878	"asia"	2940000	23.4	1090	37.1
"Zambia"	1878	"africa"	743000	33	801	54.5
"Zimbabwe"	1878	"africa"	1640000	33.8	955	27.5
"Afghanistan"	1879	"asia"	4390000	28	739	44
"Albania"	1879	"europe"	666000	35.4	856	33.8
"Algeria"	1879	"africa"	4110000	29.2	1390	38.8
"Angola"	1879	"africa"	2500000	27.8	874	37.7
"Antigua and Barbuda"	1879	"americas"	35100	33.6	1130	40
"Argentina"	1879	"americas"	2420000	33.1	3260	49.6
"Armenia"	1879	"europe"	708000	32.6	647	52.2
"Australia"	1879	"asia"	2180000	38.8	6980	41.3
"Austria"	1879	"europe"	4900000	34.9	3900	22.9
"Azerbaijan"	1879	"europe"	1520000	27.8	1080	67.8
"Bahamas"	1879	"americas"	42900	35.1	2160	40
"Bahrain"	1879	"asia"	67800	30.4	2130	40
"Bangladesh"	1879	"asia"	25900000	24.6	901	30.5
"Barbados"	1879	"americas"	170000	32.3	1360	40
"Belarus"	1879	"europe"	4050000	36.1	866	48.1
"Belgium"	1879	"europe"	5520000	43.8	5470	34.2
"Belize"	1879	"americas"	26800	26.5	864	60.3
"Benin"	1879	"africa"	1130000	31.3	796	37.1
"Bhutan"	1879	"asia"	122000	29.6	709	40.9
"Bolivia"	1879	"americas"	1620000	33.3	1500	39.2
"Bosnia and Herzegovina"	1879	"europe"	1430000	35.1	894	30
"Botswana"	1879	"africa"	122000	33.7	530	47
"Brazil"	1879	"americas"	11700000	32.1	1520	30.3
"Brunei"	1879	"asia"	7990	29.1	1850	40
"Bulgaria"	1879	"europe"	2950000	39.3	1600	41.6
"Burkina Faso"	1879	"africa"	2560000	29.6	514	38.1
"Burundi"	1879	"africa"	1380000	31.6	450	35.1
"Cambodia"	1879	"asia"	2490000	35.2	989	42
"Cameroon"	1879	"africa"	2180000	29.1	835	27.5
"Canada"	1879	"americas"	4300000	44.3	2940	42.4
"Cape Verde"	1879	"africa"	94300	34.1	682	52.5
"Central African Republic"	1879	"africa"	638000	30.4	565	57.6
"Chad"	1879	"africa"	1450000	31.4	558	33.5
"Chile"	1879	"americas"	2250000	32.1	2350	59.2
"China"	1879	"asia"	368000000	28.4	1030	30.2
"Colombia"	1879	"americas"	2840000	32.2	1120	52.1
"Comoros"	1879	"africa"	90100	32.3	754	34.1
"Congo, Dem. Rep."	1879	"africa"	7610000	32	672	40.4
"Congo, Rep."	1879	"africa"	487000	32.5	719	48.1
"Costa Rica"	1879	"americas"	168000	30.3	1500	42.1
"Cote d Ivoire"	1879	"africa"	1620000	31.6	1110	40.3
"Croatia"	1879	"europe"	2070000	36.1	2180	25
"Cuba"	1879	"americas"	1540000	35.9	2160	40
"Cyprus"	1879	"europe"	189000	38.4	1720	30.1
"Czech Republic"	1879	"europe"	6850000	35	2980	32.2
"Denmark"	1879	"europe"	2060000	46.3	3840	30.9
"Djibouti"	1879	"africa"	35900	30.5	965	36.5
"Dominican Republic"	1879	"americas"	309000	30.2	921	39.9
"Ecuador"	1879	"americas"	1140000	33.2	773	41.9
"Egypt"	1879	"africa"	7780000	33	952	23.5
"El Salvador"	1879	"americas"	564000	28.8	1600	41.2
"Equatorial Guinea"	1879	"africa"	98000	30.1	395	40
"Eritrea"	1879	"africa"	448000	30.5	620	40
"Estonia"	1879	"europe"	574000	40.5	1410	40.9
"Ethiopia"	1879	"africa"	6740000	29.8	535	47.7
"Fiji"	1879	"asia"	127000	26.3	962	35.3
"Finland"	1879	"europe"	2020000	44.9	1940	41.3
"France"	1879	"europe"	38900000	44	3350	66.7
"Gabon"	1879	"africa"	261000	30.9	395	46.3
"Gambia"	1879	"africa"	160000	30	853	39.6
"Georgia"	1879	"europe"	1840000	30.5	720	26.9
"Germany"	1879	"europe"	43200000	38.8	3110	43.9
"Ghana"	1879	"africa"	1670000	28.3	750	39
"Greece"	1879	"europe"	4010000	36.9	2240	44.5
"Grenada"	1879	"americas"	42100	37.5	1240	40
"Guatemala"	1879	"americas"	1170000	25.8	1390	37.4
"Guinea"	1879	"africa"	1650000	30.9	509	34.4
"Guinea-Bissau"	1879	"africa"	327000	31.8	818	49.5
"Guyana"	1879	"americas"	248000	31.2	1810	39.5
"Haiti"	1879	"americas"	1270000	28.9	1160	47.5
"Honduras"	1879	"americas"	441000	34.2	1440	58.5
"Hungary"	1879	"europe"	6220000	36	2120	32.7
"Iceland"	1879	"europe"	90000	39.5	1920	25.8
"India"	1879	"asia"	222000000	25.4	1080	35.7
"Indonesia"	1879	"asia"	29900000	30.1	1090	30.7
"Iran"	1879	"asia"	8830000	25.8	1140	45.9
"Iraq"	1879	"asia"	1750000	31.3	1280	32.7
"Ireland"	1879	"europe"	3670000	43.6	3240	31.4
"Israel"	1879	"asia"	278000	31.9	934	34.7
"Italy"	1879	"europe"	29400000	34	2780	50.9
"Jamaica"	1879	"americas"	558000	34.2	928	41.3
"Japan"	1879	"asia"	36700000	37	1350	41
"Jordan"	1879	"asia"	286000	31.8	1290	36.9
"Kazakhstan"	1879	"asia"	3500000	25	1710	35.3
"Kenya"	1879	"africa"	2610000	25.8	1090	47.6
"Kiribati"	1879	"asia"	23600	25.1	591	37
"Kuwait"	1879	"asia"	84900	26.1	1620	40
"Kyrgyz Republic"	1879	"asia"	910000	22.7	855	34.1
"Lao"	1879	"asia"	857000	31.6	998	32.6
"Latvia"	1879	"europe"	1010000	39.3	1130	39.8
"Lebanon"	1879	"asia"	492000	29.7	1690	34.2
"Lesotho"	1879	"africa"	430000	33.2	411	56
"Liberia"	1879	"africa"	513000	31.7	936	36.5
"Libya"	1879	"africa"	751000	33.6	2170	40
"Lithuania"	1879	"europe"	1340000	32.7	1900	39.4
"Luxembourg"	1879	"europe"	187000	36.9	2930	34
"Macedonia, FYR"	1879	"europe"	663000	36.2	1120	30.2
"Madagascar"	1879	"africa"	2510000	30.9	764	38.8
"Malawi"	1879	"africa"	751000	30.5	354	43.1
"Malaysia"	1879	"asia"	1100000	30.6	1160	33.1
"Maldives"	1879	"asia"	58000	32.3	840	41.3
"Mali"	1879	"africa"	2430000	27	616	49.2
"Malta"	1879	"europe"	197000	32	1350	28
"Mauritania"	1879	"africa"	489000	32.3	703	40.3
"Mauritius"	1879	"africa"	352000	30.2	1250	38.6
"Mexico"	1879	"americas"	10300000	26.9	1490	43.2
"Micronesia, Fed. Sts."	1879	"asia"	22100	26.6	544	42.4
"Moldova"	1879	"europe"	1220000	33	858	38.4
"Mongolia"	1879	"asia"	678000	31.8	656	32
"Montenegro"	1879	"europe"	212000	35.5	1710	30.2
"Morocco"	1879	"africa"	4030000	33.3	794	41.4
"Mozambique"	1879	"africa"	3420000	30.9	409	50.4
"Myanmar"	1879	"asia"	5520000	30.7	934	34.8
"Namibia"	1879	"africa"	231000	32.7	1310	45.9
"Nepal"	1879	"asia"	4980000	33.3	705	25.8
"Netherlands"	1879	"europe"	3980000	42	5200	46.5
"New Zealand"	1879	"asia"	485000	38.1	5940	38.2
"Nicaragua"	1879	"americas"	444000	25.6	1830	39.4
"Niger"	1879	"africa"	1720000	31.4	595	34.9
"Nigeria"	1879	"africa"	15600000	31.4	1150	39
"North Korea"	1879	"asia"	4780000	26.3	534	37
"Norway"	1879	"europe"	1870000	53.2	2760	34.6
"Oman"	1879	"asia"	381000	32.3	1220	40
"Pakistan"	1879	"asia"	16900000	26.3	1050	36
"Palestine"	1879	"asia"	222000	32.5	1260	34
"Panama"	1879	"americas"	199000	33	1650	43.3
"Papua New Guinea"	1879	"asia"	1080000	32	669	45.5
"Paraguay"	1879	"americas"	403000	35.7	1750	40.8
"Peru"	1879	"americas"	2930000	35.4	1410	44.7
"Philippines"	1879	"asia"	4950000	31	1060	40.6
"Poland"	1879	"europe"	19400000	35.9	1820	29.6
"Portugal"	1879	"europe"	4600000	35.6	1770	49
"Qatar"	1879	"asia"	14600	30.8	1620	40
"Romania"	1879	"europe"	9680000	35.7	1850	35.8
"Russia"	1879	"europe"	53500000	30.8	2140	45.6
"Rwanda"	1879	"africa"	1360000	31.9	476	39.3
"Samoa"	1879	"asia"	38300	25.8	1720	42.1
"Sao Tome and Principe"	1879	"africa"	35400	31.1	984	32.1
"Saudi Arabia"	1879	"asia"	2400000	32.8	933	40
"Senegal"	1879	"africa"	1520000	25.7	663	50.3
"Serbia"	1879	"europe"	3610000	35.6	2200	32.7
"Seychelles"	1879	"africa"	15400	39.3	1080	41.3
"Sierra Leone"	1879	"africa"	1220000	25.8	979	41.2
"Singapore"	1879	"asia"	113000	34	1470	47
"Slovak Republic"	1879	"europe"	2650000	36.4	2220	39.2
"Slovenia"	1879	"europe"	790000	36.5	2280	33.4
"Solomon Islands"	1879	"asia"	69200	25.1	448	46.1
"Somalia"	1879	"africa"	1450000	30	748	44.3
"South Africa"	1879	"africa"	3070000	33.8	2910	35.2
"South Korea"	1879	"asia"	9800000	25.8	531	32
"South Sudan"	1879	"africa"	1590000	27.6	676	45
"Spain"	1879	"europe"	16800000	29.5	2320	27.8
"Sri Lanka"	1879	"asia"	3000000	32.6	1270	37.2
"St. Lucia"	1879	"americas"	37200	28.1	1060	42.6
"St. Vincent and the Grenadines"	1879	"americas"	39400	26	1250	40
"Sudan"	1879	"africa"	4820000	31.4	691	33.9
"Suriname"	1879	"americas"	125000	33	2440	45.6
"Swaziland"	1879	"africa"	86900	32.5	653	60.5
"Sweden"	1879	"europe"	4470000	48.9	2530	39.3
"Switzerland"	1879	"europe"	2810000	41.8	5790	40.6
"Syria"	1879	"asia"	1660000	31.4	1250	38.9
"Tajikistan"	1879	"asia"	799000	22.9	782	33.6
"Tanzania"	1879	"africa"	3700000	32.5	660	27.9
"Thailand"	1879	"asia"	6230000	30.5	1130	34.6
"Timor-Leste"	1879	"asia"	263000	29.2	609	35.9
"Togo"	1879	"africa"	748000	31.6	910	43.6
"Tonga"	1879	"asia"	19300	28.2	812	37.7
"Trinidad and Tobago"	1879	"americas"	159000	38.8	1700	45.5
"Tunisia"	1879	"africa"	1310000	29.1	952	55.4
"Turkey"	1879	"europe"	12400000	35.3	1520	52.6
"Turkmenistan"	1879	"asia"	631000	21.2	1410	30.6
"Uganda"	1879	"africa"	2550000	25.4	618	43.6
"Ukraine"	1879	"europe"	19400000	36.5	1140	32.1
"United Arab Emirates"	1879	"asia"	42400	30.9	1480	40
"United Kingdom"	1879	"europe"	30500000	44.3	6170	43.8
"United States"	1879	"americas"	50200000	39.4	4830	44.6
"Uruguay"	1879	"americas"	464000	32.9	5090	56
"Uzbekistan"	1879	"asia"	3280000	25.7	604	31.2
"Vanuatu"	1879	"asia"	35400	24.5	717	37.6
"Venezuela"	1879	"americas"	1980000	32.3	1100	62.8
"Vietnam"	1879	"asia"	11300000	31.7	901	34.2
"Yemen"	1879	"asia"	2950000	23.4	1100	36.9
"Zambia"	1879	"africa"	743000	33	803	54.5
"Zimbabwe"	1879	"africa"	1650000	33.9	956	27.5
"Afghanistan"	1880	"asia"	4420000	28.1	741	43.4
"Albania"	1880	"europe"	673000	35.4	869	33.2
"Algeria"	1880	"africa"	4140000	29.2	1410	38.2
"Angola"	1880	"africa"	2520000	27.8	878	37.4
"Antigua and Barbuda"	1880	"americas"	35200	33.6	1140	40
"Argentina"	1880	"americas"	2490000	33	3100	49.2
"Armenia"	1880	"europe"	714000	32.8	649	50.7
"Australia"	1880	"asia"	2250000	39.4	7120	40.9
"Austria"	1880	"europe"	4950000	35	3930	22.9
"Azerbaijan"	1880	"europe"	1530000	28	1080	67.5
"Bahamas"	1880	"americas"	43300	35.1	2170	40
"Bahrain"	1880	"asia"	68200	30.4	2150	40
"Bangladesh"	1880	"asia"	26100000	24.4	903	30.2
"Barbados"	1880	"americas"	171000	32.3	1370	40
"Belarus"	1880	"europe"	4090000	36.1	871	48.1
"Belgium"	1880	"europe"	5570000	42.5	5690	34
"Belize"	1880	"americas"	27100	26.5	869	60.3
"Benin"	1880	"africa"	1140000	31.4	799	37
"Bhutan"	1880	"asia"	122000	29.7	710	40.9
"Bolivia"	1880	"americas"	1630000	33.3	1510	39.2
"Bosnia and Herzegovina"	1880	"europe"	1440000	35.1	906	30
"Botswana"	1880	"africa"	122000	33.7	532	47
"Brazil"	1880	"americas"	11900000	32.1	1450	30.2
"Brunei"	1880	"asia"	8250	29.1	1860	40
"Bulgaria"	1880	"europe"	2990000	39.3	1620	41
"Burkina Faso"	1880	"africa"	2580000	29.6	515	38.1
"Burundi"	1880	"africa"	1390000	31.6	450	35.1
"Cambodia"	1880	"asia"	2510000	35.3	990	42
"Cameroon"	1880	"africa"	2190000	29.1	839	27.2
"Canada"	1880	"americas"	4360000	44.5	3020	42.3
"Cape Verde"	1880	"africa"	95200	34.1	685	52.5
"Central African Republic"	1880	"africa"	641000	30.4	568	57.6
"Chad"	1880	"africa"	1460000	31.5	560	33.4
"Chile"	1880	"americas"	2280000	32.1	2600	59
"China"	1880	"asia"	369000000	31.9	1020	29.8
"Colombia"	1880	"americas"	2890000	32.3	1130	51.3
"Comoros"	1880	"africa"	90900	32.3	755	34.1
"Congo, Dem. Rep."	1880	"africa"	7660000	32.1	674	40.4
"Congo, Rep."	1880	"africa"	491000	32.4	721	48
"Costa Rica"	1880	"americas"	173000	30.3	1520	42.1
"Cote d Ivoire"	1880	"africa"	1630000	31.7	1120	40.3
"Croatia"	1880	"europe"	2080000	36.1	2220	24.9
"Cuba"	1880	"americas"	1560000	37	2180	40
"Cyprus"	1880	"europe"	190000	38.4	1740	30.1
"Czech Republic"	1880	"europe"	6880000	35	3020	31.8
"Denmark"	1880	"europe"	2080000	44.9	3910	30.6
"Djibouti"	1880	"africa"	36200	30.6	969	36.5
"Dominican Republic"	1880	"americas"	317000	30.2	926	39.9
"Ecuador"	1880	"americas"	1150000	33.2	778	41.9
"Egypt"	1880	"africa"	7870000	33	960	23.1
"El Salvador"	1880	"americas"	572000	28.8	1620	41.2
"Equatorial Guinea"	1880	"africa"	98300	30.1	395	40
"Eritrea"	1880	"africa"	454000	30.6	622	40
"Estonia"	1880	"europe"	580000	40.1	1420	40.1
"Ethiopia"	1880	"africa"	6830000	27.1	535	47.7
"Fiji"	1880	"asia"	127000	26.3	965	35.3
"Finland"	1880	"europe"	2050000	39.6	1920	40.6
"France"	1880	"europe"	39000000	42.8	3550	66.1
"Gabon"	1880	"africa"	263000	30.9	395	46.3
"Gambia"	1880	"africa"	161000	30.1	853	39.6
"Georgia"	1880	"europe"	1860000	30.7	724	26.9
"Germany"	1880	"europe"	43600000	38.9	3060	43.4
"Ghana"	1880	"africa"	1680000	28.3	752	38.3
"Greece"	1880	"europe"	4050000	37	2270	43.6
"Grenada"	1880	"americas"	42700	37.5	1240	40
"Guatemala"	1880	"americas"	1180000	25.8	1400	37.4
"Guinea"	1880	"africa"	1670000	31	510	34.4
"Guinea-Bissau"	1880	"africa"	330000	31.7	818	49.5
"Guyana"	1880	"americas"	250000	31.2	1820	39.5
"Haiti"	1880	"americas"	1280000	28.9	1170	47.5
"Honduras"	1880	"americas"	445000	34.2	1460	58.5
"Hungary"	1880	"europe"	6260000	36	2150	32.5
"Iceland"	1880	"europe"	90500	42.3	2040	25.8
"India"	1880	"asia"	223000000	25.4	1080	35.3
"Indonesia"	1880	"asia"	30200000	30.1	1090	30.7
"Iran"	1880	"asia"	8880000	25.8	1150	45.3
"Iraq"	1880	"asia"	1780000	31.3	1290	32.3
"Ireland"	1880	"europe"	3640000	43.9	3270	31.1
"Israel"	1880	"asia"	281000	31.9	940	34.7
"Italy"	1880	"europe"	29600000	32.7	2850	50.6
"Jamaica"	1880	"americas"	565000	34.2	931	41.3
"Japan"	1880	"asia"	36900000	37	1390	41
"Jordan"	1880	"asia"	287000	31.8	1300	36.9
"Kazakhstan"	1880	"asia"	3530000	25.3	1720	35.3
"Kenya"	1880	"africa"	2610000	25.8	1100	46.8
"Kiribati"	1880	"asia"	23800	25.1	591	37
"Kuwait"	1880	"asia"	85300	26.1	1650	40
"Kyrgyz Republic"	1880	"asia"	918000	22.9	862	33.7
"Lao"	1880	"asia"	869000	31.6	1000	32.6
"Latvia"	1880	"europe"	1020000	39.6	1130	39.2
"Lebanon"	1880	"asia"	495000	29.7	1710	33.9
"Lesotho"	1880	"africa"	434000	33.3	411	56
"Liberia"	1880	"africa"	518000	31.8	939	36.5
"Libya"	1880	"africa"	756000	33.7	2200	40
"Lithuania"	1880	"europe"	1350000	33.2	1920	38.8
"Luxembourg"	1880	"europe"	188000	37.4	2960	34
"Macedonia, FYR"	1880	"europe"	669000	36.2	1140	30.1
